time,latitude,longitude,depth_pressure,TEMPERATURE,SALINITY
27660.57314814815,-15.65407833,89.88003166666667,333.4,10.945,34.867
27660.57314814815,-15.65407833,89.88003166666667,335.7,10.869,34.86
27660.57314814815,-15.65407833,89.88003166666667,337.5,10.847,34.856
27660.57314814815,-15.65407833,89.88003166666667,339.4,10.806,34.853
27660.57314814815,-15.65407833,89.88003166666667,341.2,10.77,34.848
27660.57314814815,-15.65407833,89.88003166666667,343.5,10.656,34.836
27660.57314814815,-15.65407833,89.88003166666667,345.7,10.608,34.829
27660.57314814815,-15.65407833,89.88003166666667,347.5,10.594,34.829
27660.57314814815,-15.65407833,89.88003166666667,349.3,10.583,34.827
27660.57314814815,-15.65407833,89.88003166666667,351.1,10.536,34.822
27660.57314814815,-15.65407833,89.88003166666667,353.4,10.497,34.819
27660.57314814815,-15.65407833,89.88003166666667,355.7,10.491,34.816
27660.57314814815,-15.65407833,89.88003166666667,357.5,10.484,34.814
27660.57314814815,-15.65407833,89.88003166666667,359.3,10.474,34.814
27660.57314814815,-15.65407833,89.88003166666667,361.2,10.416,34.809
27660.57314814815,-15.65407833,89.88003166666667,363.1,10.366,34.803
27660.57314814815,-15.65407833,89.88003166666667,365,10.329,34.801
27660.57314814815,-15.65407833,89.88003166666667,367.4,10.301,34.797
27660.57314814815,-15.65407833,89.88003166666667,369.9,10.259,34.791
27660.57314814815,-15.65407833,89.88003166666667,371.8,10.185,34.785
27660.57314814815,-15.65407833,89.88003166666667,373.8,10.149,34.781
27660.57314814815,-15.65407833,89.88003166666667,375.8,10.125,34.778
27660.57314814815,-15.65407833,89.88003166666667,377.8,10.091,34.773
27660.57314814815,-15.65407833,89.88003166666667,379.8,10.062,34.771
27660.57314814815,-15.65407833,89.88003166666667,381.8,10.022,34.766
27660.57314814815,-15.65407833,89.88003166666667,383.4,9.971,34.765
27660.57314814815,-15.65407833,89.88003166666667,385,9.921,34.759
27660.57314814815,-15.65407833,89.88003166666667,387.1,9.883,34.752
27660.57314814815,-15.65407833,89.88003166666667,389.2,9.846,34.749
27660.57314814815,-15.65407833,89.88003166666667,391.3,9.805,34.744
27660.57314814815,-15.65407833,89.88003166666667,393.5,9.728,34.738
27660.57314814815,-15.65407833,89.88003166666667,395.7,9.722,34.737
27660.57314814815,-15.65407833,89.88003166666667,397.5,9.696,34.737
27660.57314814815,-15.65407833,89.88003166666667,399.1,9.68,34.734
27660.57314814815,-15.65407833,89.88003166666667,401.3,9.665,34.733
27660.57314814815,-15.65407833,89.88003166666667,403.5,9.645,34.732
27660.57314814815,-15.65407833,89.88003166666667,405.8,9.627,34.73
27660.57314814815,-15.65407833,89.88003166666667,407.5,9.612,34.728
27660.57314814815,-15.65407833,89.88003166666667,409.2,9.602,34.727
27660.57314814815,-15.65407833,89.88003166666667,411.5,9.563,34.724
27660.57314814815,-15.65407833,89.88003166666667,413.7,9.525,34.721
27660.57314814815,-15.65407833,89.88003166666667,415.4,9.474,34.717
27660.57314814815,-15.65407833,89.88003166666667,417.1,9.469,34.714
27660.57314814815,-15.65407833,89.88003166666667,419.4,9.449,34.713
27660.57314814815,-15.65407833,89.88003166666667,421.7,9.403,34.708
27660.57314814815,-15.65407833,89.88003166666667,423.4,9.379,34.707
27660.57314814815,-15.65407833,89.88003166666667,425.1,9.37,34.705
27660.57314814815,-15.65407833,89.88003166666667,427.4,9.352,34.704
27660.57314814815,-15.65407833,89.88003166666667,429.7,9.32,34.702
27660.57314814815,-15.65407833,89.88003166666667,431.4,9.298,34.7
27660.57314814815,-15.65407833,89.88003166666667,433,9.293,34.699
27660.57314814815,-15.65407833,89.88003166666667,435.3,9.268,34.696
27660.57314814815,-15.65407833,89.88003166666667,437.5,9.23,34.693
27660.57314814815,-15.65407833,89.88003166666667,439.8,9.184,34.69
27660.57314814815,-15.65407833,89.88003166666667,441.5,9.149,34.687
27660.57314814815,-15.65407833,89.88003166666667,443.1,9.128,34.686
27660.57314814815,-15.65407833,89.88003166666667,445.4,9.102,34.684
27660.57314814815,-15.65407833,89.88003166666667,447.6,9.074,34.682
27660.57314814815,-15.65407833,89.88003166666667,449.8,9.05,34.68
27660.57314814815,-15.65407833,89.88003166666667,451.5,9.046,34.68
